GeoId|Geography|LEAID|Year|Iteration|B02001_1est|B02001_1moe|B02001_2est|B02001_2moe|B02001_3est|B02001_3moe|B02001_4est|B02001_4moe|B02001_5est|B02001_5moe|B02001_6est|B02001_6moe|B02001_7est|B02001_7moe|B02001_8est|B02001_8moe|B02001_9est|B02001_9moe|B02001_10est|B02001_10moe
97000US2700106|A.C.G.C. Public School District, MN|2700106|2014-2018||5663|242|5576|235|3|4|7|6|8|8|0|12|33|19|36|20|7|7|29|18
97000US4500690|Abbeville County School District, SC|4500690|2014-2018||23553|252|16552|217|6325|278|0|23|80|109|0|23|51|43|545|205|52|67|493|206
97000US5500030|Abbotsford School District, WI|5500030|2014-2018||3644|247|3339|251|19|15|4|7|8|6|0|9|241|106|33|25|0|9|33|25
97000US4807380|Abbott Independent School District, TX|4807380|2014-2018||846|157|813|158|6|9|15|14|0|13|0|13|12|14|0|13|0|13|0|13
97000US0601620|ABC Unified School District, CA|0601620|2014-2018||107256|1060|29011|1494|6685|804|539|224|45448|1356|510|273|20125|1181|4938|747|1923|566|3015|473
97000US2800360|Aberdeen School District, MS|2800360|2014-2018||9093|525|3009|430|5963|445|8|13|0|18|0|18|6|11|107|95|0|18|107|95
97000US5300030|Aberdeen School District, WA|5300030|2014-2018||20093|450|17586|608|93|72|843|237|333|165|124|85|196|135|918|257|19|33|899|260
97000US4602070|Aberdeen School District 06-1, SD|4602070|2014-2018||33531|407|29792|425|817|58|1192|229|1153|73|0|20|31|31|546|239|18|30|528|238
97000US1600030|Aberdeen School District 58, ID|1600030|2014-2018||3950|489|2597|409|0|12|116|147|17|33|0|12|1086|352|134|92|26|33|108|89
97000US4807410|Abernathy Independent School District, TX|4807410|2014-2018||3600|405|3381|405|13|12|8|9|0|13|0|13|69|44|129|72|20|23|109|65
97000US4807440|Abilene Independent School District, TX|4807440|2014-2018||102029|1146|74347|1777|9927|421|988|276|2193|394|44|55|11678|1225|2852|421|888|264|1964|389
97000US2003180|Abilene Unified School District 435, KS|2003180|2014-2018||8602|293|8258|309|117|78|94|56|0|15|0|15|36|34|97|80|12|18|85|77
97000US1701413|Abingdon-Avon Community Unit School District 276, IL|1701413|2014-2018||6260|497|6135|503|29|35|0|15|0|15|0|15|0|15|96|88|0|15|96|88
97000US4202010|Abington Heights School District, PA|4202010|2014-2018||23288|336|22137|400|276|153|16|19|388|129|0|19|22|18|449|257|82|55|367|247
97000US4202040|Abington School District, PA|4202040|2014-2018||58110|38|46445|880|6680|597|16|21|2613|535|19|26|425|213|1912|359|88|66|1824|360
